gameID, patch, winningTeam, BlueChampion1, BlueChampion2, BlueChampion3, BlueChampion4, BlueChampion5, RedChampion1, RedChampion2, RedChampion3, RedChampion4, RedChampion5
EUW1_6811112802,14.3.558.8314,Red,Yone,Kayn,Corki,Ezreal,Taric,Jax,MasterYi,AurelionSol,Jinx,Thresh
EUW1_6810932534,14.3.558.8314,Red,Fiora,Belveth,Ryze,Senna,Rakan,Illaoi,MasterYi,Leblanc,Smolder,Renata
EUW1_6810853696,14.3.558.8314,Red,Mordekaiser,Vi,Yasuo,Lucian,Janna,Illaoi,Lillia,Xerath,Draven,Blitzcrank
EUW1_6810569519,14.3.558.8314,Red,Ornn,Taliyah,Sett,Twitch,Rakan,Renekton,Zac,Viktor,Smolder,Rell
EUW1_6810938995,14.3.558.8314,Red,Garen,Gragas,Kassadin,Vayne,Bard,Smolder,Graves,Sylas,Jhin,Maokai
EUW1_6810846479,14.3.558.8314,Red,Fiora,Kayn,Pantheon,Smolder,Janna,Aatrox,Rengar,Hwei,Varus,Bard
EUW1_6809520481,14.3.558.8314,Red,Jayce,Ivern,Zoe,Lucian,Braum,Rumble,Viego,Talon,Samira,Bard
EUW1_6809005941,14.3.558.8314,Red,Illaoi,Nocturne,Qiyana,Jinx,Bard,Tristana,Brand,Garen,Twitch,Maokai
EUW1_6808667836,14.3.558.8314,Red,Zilean,Elise,Corki,Varus,Janna,Cassiopeia,Khazix,Yone,Ezreal,Sona
EUW1_6811314161,14.3.558.8314,Red,Sion,Kindred,Talon,Caitlyn,Zyra,Gangplank,Briar,TwistedFate,Seraphine,Sona
EUW1_6811245434,14.3.558.8314,Red,Gangplank,Brand,Vladimir,Varus,Belveth,Illaoi,Graves,Kassadin,Jhin,Lux
EUW1_6811159398,14.3.558.8314,Red,Fiora,Zac,Vladimir,Vayne,Nautilus,Aatrox,Lillia,Orianna,Kalista,Rakan
EUW1_6811070729,14.3.558.8314,Red,Vayne,Evelynn,Yasuo,Senna,Neeko,Malphite,Graves,Garen,Ezreal,Sylas
EUW1_6811643336,14.3.558.8314,Red,Rumble,MasterYi,Smolder,Seraphine,Senna,Ivern,Zac,Velkoz,Kaisa,Lulu
EUW1_6811549706,14.3.558.8314,Red,Sejuani,Khazix,Diana,Varus,Lulu,Olaf,Nidalee,AurelionSol,Draven,Nautilus
EUW1_6811471549,14.3.558.8314,Red,Akali,Graves,Azir,Jinx,Blitzcrank,Rumble,Brand,Yasuo,Draven,Morgana
EUW1_6811394952,14.3.558.8314,Red,Yorick,Viego,TwistedFate,Varus,Maokai,Gnar,LeeSin,Syndra,Ezreal,Pyke
